restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent
IHOP,"Burger & Sandwich Toppings, IHOP Sauce (1 Ounce)",1.0,Ounce,88.69,3.43,3.55,8.2,1.19,6.08,225.11,0.19,25.04,0.26,15.46961325966851,83.21118502649678,1.1726237456308493
Ike's Love & Sandwiches,359. IHOP,1.0,Sandwich,1400.0,19.795,3.5,8.81,2.525,17.02,242.0,0.96,193.5125,6.11,5.655714285714286,5.663571428571429,1.7457142857142858
IHOP,Applesauce,1.0,Each,75.48,19.41,16.28,0.19,0.03,0.0,2.22,1.33,83.25,0.18,102.86168521462639,2.2655007949125596,0.9538950715421303
IHOP,Avocado,1.0,Serving,321.6,17.15,1.33,29.47,4.27,0.0,14.07,13.47,974.85,4.02,21.330845771144276,82.47201492537314,4.999999999999999
IHOP,Grits,1.0,Serving,151.45,32.29,0.21,0.91,0.14,0.0,4.66,1.63,51.26,2.87,85.28227137669198,5.407725321888412,7.580059425552989
IHOP,Machaca,1.0,Serving,43.38,0.78,0.77,0.55,0.27,22.4,790.97,0.0,66.62,8.82,7.192254495159059,11.410788381742739,81.32780082987551
IHOP,Migas,1.0,Serving,698.18,22.95,6.49,49.57,23.98,797.43,1040.57,3.5,789.98,41.29,13.148471740811827,63.89899452863159,23.655790770288466
IHOP,Salmon,1.0,Serving,467.62,0.0,0.0,28.03,5.44,143.01,138.47,0.0,871.68,50.17,0.0,53.94764980112057,42.91518754544288
IHOP,Scrapple,1.0,Serving,119.28,7.87,0.11,7.77,2.65,27.44,269.92,0.17,88.48,4.51,26.391683433936958,58.62676056338027,15.124077800134136
IHOP,55+ BLT,1.0,Serving,761.16,7.49,4.5,74.03,18.85,104.95,1534.27,1.04,472.19,16.55,3.9360975353407963,87.53350149771401,8.697251563403228
IHOP,Appetizer Sampler,1.0,Serving,64.72,15.41,8.66,0.61,0.03,0.0,1.42,5.55,191.38,1.4,95.24103831891225,8.482694684796046,8.652657601977749
IHOP,Avocado Toast,1.0,Serving,188.97,19.89,1.81,11.42,1.64,0.0,439.08,5.39,380.54,3.84,42.10192093983172,54.389585648515634,8.128274329258613
IHOP,Belgian Waffle,1.0,Serving,218.25,24.68,5.09,10.58,2.15,51.75,383.25,1.4849999999999999,119.25,5.93,45.23253150057273,43.628865979381445,10.868270332187857
IHOP,Big Brunch,1.0,Serving,562.83,43.98,8.69,32.76,8.33,78.84,1007.4,3.5,396.39,25.89,31.256329619956286,52.385267309844885,18.399872075049302
IHOP,Blueberry Syrup,1.0,fl oz,286.44,71.51,44.52,0.0,0.0,0.0,0.0,0.08,5.88,0.0,99.86035469906437,0.0,0.0
IHOP,Breakfast Crepes,1.0,Serving,656.82,72.25,1.45,28.07,12.26,230.14,1522.31,2.68,835.55,28.72,43.9998782010292,38.462592491093446,17.49033220669285
IHOP,Breakfast Sampler,1.0,Serving,879.33,27.21,5.68,67.13,20.57,689.92,1765.61,5.59,1068.89,42.84,12.377605677049571,68.70799358602572,19.48756439561939
IHOP,Chicken & Pancakes,1.0,Serving,273.2,44.65,7.89,6.96,1.42,35.9,615.74,1.34,295.36,7.88,65.37335285505125,22.928257686676428,11.537335285505126
IHOP,Chicken & Waffles,1.0,Serving,1012.31,71.66,24.19,53.83,17.64,266.33,852.11,0.17,676.81,58.17,28.315436970888364,47.85786962491727,22.985053985439244
IHOP,Chicken Quesadilla,1.0,Serving,1069.07,92.46,6.29,50.2,23.46,181.9,1814.88,7.21,880.89,60.53,34.594554145191616,42.26103061539469,22.647721851702883
In-N-Out Burger,Coffee,15.0,oz,2.37,0.0,0.0,0.05,0.0,0.0,4.74,0.0,116.13,0.28,0.0,18.987341772151897,47.257383966244724
In-N-Out Burger,Milk,10.0,oz,122.0,11.71,12.35,4.83,3.07,19.52,114.68,0.0,341.6,8.05,38.39344262295082,35.631147540983605,26.393442622950825
In-N-Out Burger,Chocolate Shake,15.0,oz,540.74,96.11,94.74,12.27,7.64,49.98,504.38,1.36,1017.86,13.86,71.09516588378888,20.422014276731883,10.252616784406552
In-N-Out Burger,French Fries,125.0,grams,365.04,48.48,0.35,17.23,2.73,0.0,245.7,4.45,677.43,4.01,53.122945430637735,42.480276134122285,4.394039009423625
In-N-Out Burger,Hot Cocoa,8.0,oz,150.92,31.67,24.78,1.51,0.9,0.0,200.31,1.37,271.66,2.52,83.93851046912273,9.004770739464618,6.679035250463823
In-N-Out Burger,Strawberry Shake,15.0,oz,424.88,71.06,24.78,10.53,6.52,41.36,312.08,1.5,684.32,12.78,66.8988890980983,22.305121446055356,12.031632460930144
