restaurant_name,food_name,serving_size,serving_unit,calories,carbohydrates,sugars,fats,saturated_fats,cholesterol,sodium,fiber,potassium,proteins,carb_percent,fat_percent,protein_percent,score
Waffle House,"Classic Waffle House Waffle, Add Peanut Butter Chips",1.0,Serving,222.18,19.69,16.09,12.52,5.51,0.42,105.0,2.1,212.1,7.69,35.44873525969934,50.71563597083445,13.844630479791162,0.254
Waffle House,Kids Waffle (add side),1.0,Serving,255.84,33.98,0.25,12.08,1.92,0.0,172.2,3.12,474.78,2.81,53.12695434646654,42.4953095684803,4.393370856785491,0.669
Waffle House,"Breakfast All-Start Special, Classic Waffle",1.0,Serving,246.89,39.48,18.82,8.81,5.2,51.34,231.37,1.7,210.83,3.77,63.96370853416501,32.11551703187655,6.107983312406335,0.418
Waffle House,Coffee,1.0,Serving,2.37,0.0,0.0,0.05,0.0,0.0,4.74,0.0,116.13,0.28,0.0,18.987341772151897,47.257383966244724,0.301
Waffle House,Sprite,1.0,Serving,151.29,38.45,38.3,0.0,0.0,0.0,36.9,0.0,3.69,0.33,101.65906537114154,0.0,0.8724965298433474,0.368
Waffle House,Waffle Sandwich (Ham and Cheese on Wheat),1.0,Serving,516.9,28.41,3.61,32.0,16.52,102.77,1817.07,2.29,359.27,28.18,21.984910040626815,55.71677307022635,21.80692590443026,0.557
Waffle House,Toddle House Cheesesteak Omelet (add side & toast),1.0,Serving,257.43,33.2,2.06,9.36,3.69,18.1,531.52,1.56,154.81,9.74,51.5868391407373,32.72345880433515,15.134211241890998,0.603
Waffle House,Toddle House Fiesta Omelet (add side & toast),1.0,Serving,509.91,38.53,3.65,28.74,16.01,96.45,589.83,1.96,184.37,23.64,30.22494165637073,50.726598811554965,18.544449020415364,0.647
Waffle House,Add Bacon,1.0,Serving,161.46,0.59,0.0,12.11,4.13,34.16,580.98,0.0,172.16,11.7,1.4616623312275485,67.50278706800445,28.985507246376805,0.364
Waffle House,BLT Sandwich,1.0,Serving,447.18,26.74,3.7,28.16,7.47,51.32,1108.45,1.71,366.39,20.42,23.918779909656067,56.67516436334362,18.26557538351447,0.529
Waffle House,Bacon Biscuit,1.0,Serving,396.0,40.34,3.46,19.71,7.54,31.68,1145.76,1.85,271.92,15.75,40.74747474747475,44.79545454545455,15.909090909090908,0.649
Waffle House,Bacon Sandwich,1.0,Serving,450.0,25.5,2.84,29.31,13.14,76.04,1110.87,1.35,295.95,20.15,22.666666666666664,58.62,17.91111111111111,0.547
Waffle House,Chicken Biscuit,1.0,Serving,396.0,40.34,3.46,19.71,7.54,31.68,1145.76,1.85,271.92,15.75,40.74747474747475,44.79545454545455,15.909090909090908,0.649
Waffle House,Chicken Dinner,1.0,Serving,813.25,95.91,28.82,28.67,6.37,127.22,1920.97,8.82,1247.19,43.75,47.17368582846603,31.728250845373505,21.518598217030434,0.287
Waffle House,Coca-Cola,1.0,Serving,155.4,38.33,36.78,0.93,0.0,0.0,11.1,0.0,18.5,0.0,98.66151866151866,5.386100386100386,0.0,0.365
Waffle House,Decaf Coffee,1.0,Serving,3.58,0.77,0.0,0.0,0.0,0.0,7.16,0.0,64.44,0.21,86.03351955307262,0.0,23.463687150837988,0.308
Buffalo Wild Wings,"Large Cauliflower Wings, Add Wild Sauce",1.0,Serving,71.0,8.64,3.73,3.27,1.75,7.08,747.89,3.21,255.77,3.47,48.676056338028175,41.45070422535211,19.549295774647888,0.293
