food_name,calories_x,carbohydrates_x,fiber_x,fats_x,glycemic_index,category,description,brand,food_category,sugars_x,proteins_x,serving_weight,restaurant_name,serving_size,serving_unit,calories_y,carbohydrates_y,sugars_y,fats_y,saturated_fats,cholesterol,sodium,fiber_y,potassium,proteins_y,calories_per_100g,carbs_per_100g,fats_per_100g,gi_category
apple slices,,,,,,,,,,,,,McDonald's,1.0,Serving,114.08,28.02,23.86,0.32,0.05,0.0,9.92,0.5,250.48,0.25,,,,Unknown
apples,52.8,14.180000000000001,2.7600000000000002,0.0,40.0,Diabetic-Friendly Foods,APPLES,APPLE COUNTRY,Pre-Packaged Fruit & Vegetables,,0.0,,,,,,,,,,,,,,,,,,Low
applesauce,,,,,,,,,,,,,Subway,1.0,Serving,75.48,19.41,16.28,0.19,0.03,0.0,2.22,1.33,83.25,0.18,,,,Unknown
"apricots, dried",,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,Low
"artisan ciabatta bread,",,,,,,,,,,,,,Panera Bread,57.0,gram,82.46,15.32,1.76,1.03,0.22,0.0,151.9,0.84,39.06,2.74,,,,Unknown
asparagus,21.0,3.9199999999999995,2.3600000000000003,0.0,,Diabetic-Friendly Foods,ASPARAGUS,WEGMANS,Pre-Packaged Fruit & Vegetables,,2.35,,Chili's,1.0,Serving,16.5,3.08,0.98,0.17,0.04,0.0,10.5,1.5,168.0,1.8,,,,Unknown
atomic boneless tenders,,,,,,,,,,,,,Wingstop,1.0,each,111.74,7.14,0.09,6.15,1.09,17.02,296.0,0.33,119.88,6.99,,,,Unknown
atomic boneless wings,,,,,,,,,,,,,Wingstop,1.0,each,75.34,7.41,2.94,3.38,0.59,9.19,249.37,0.26,84.97,3.84,,,,Unknown
atomic chicken sandwich,,,,,,,,,,,,,Wingstop,1.0,each,419.52,41.65,5.17,20.66,3.74,44.08,937.84,2.13,272.08,16.63,,,,Unknown
atomic wings,,,,,,,,,,,,,Wingstop,1.0,each,98.64,0.42,0.01,8.43,2.68,33.67,146.45,0.02,46.78,5.16,,,,Unknown
avocado,1259.5,6.662000000000001,4.775,32.1,,Diabetic-Friendly Foods,"Oil, avocado",,Fats and Oils,,0.0,,IHOP,1.0,Serving,321.6,17.15,1.33,29.47,4.27,0.0,14.07,13.47,974.85,4.02,,,,Unknown
avocado bacon club,,,,,,,,,,,,,Smashburger,1.0,Serving,105.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.42,0.0,,,,Unknown
avocado oil,813.4,0.0,,93.3,,Diabetic-Friendly Foods,AVOCADO OIL,PUBLIX,Vegetable & Cooking Oils,,0.0,,,,,,,,,,,,,,,,,,Unknown
avocado toast,,,,,,,,,,,,,IHOP,1.0,Serving,188.97,19.89,1.81,11.42,1.64,0.0,439.08,5.39,380.54,3.84,,,,Unknown
baby spinach,,,,,,,,,,,,,Sweetgreen,1.0,Serving,6.9,1.09,0.13,0.12,0.02,0.0,23.7,0.66,167.4,0.86,,,,Unknown
